anime_id,Name,Genres,Type,Studios,Source,Duration,Image URL
168,s.CRY.ed,"Action, Adventure, Drama, Sci-Fi",TV,Sunrise,Original,24 min per ep,https://cdn.myanimelist.net/images/anime/8/89882.jpg
169,Shingetsutan Tsukihime,"Action, Horror, Mystery, Romance, Supernatural",TV,J.C.Staff,Visual novel,24 min per ep,https://cdn.myanimelist.net/images/anime/12/20669.jpg
170,Slam Dunk,Sports,TV,Toei Animation,Manga,23 min per ep,https://cdn.myanimelist.net/images/anime/12/86890.jpg
171,Strange Dawn,"Adventure, Drama, Fantasy",TV,Hal Film Maker,Original,23 min per ep,https://cdn.myanimelist.net/images/anime/12/74782.jpg
173,Tactics,"Mystery, Supernatural",TV,Studio Deen,Manga,24 min per ep,https://cdn.myanimelist.net/images/anime/8/37549.jpg
174,Tenjou Tenge,"Action, Comedy, Ecchi",TV,Madhouse,Manga,23 min per ep,https://cdn.myanimelist.net/images/anime/1507/101835.jpg
175,Tokyo Underground,"Action, Adventure, Romance, Sci-Fi",TV,Pierrot,Manga,25 min per ep,https://cdn.myanimelist.net/images/anime/9/21036.jpg
176,Triangle Heart: Sweet Songs Forever,"Adventure, Romance",OVA,Seven Arcs,Visual novel,28 min per ep,https://cdn.myanimelist.net/images/anime/7/17439.jpg
177,Tsubasa Chronicle,"Action, Adventure, Fantasy, Romance",TV,Bee Train,Manga,25 min per ep,https://cdn.myanimelist.net/images/anime/9/6555.jpg
178,Ultra Maniac,"Comedy, Romance",TV,Ashi Productions,Manga,24 min per ep,https://cdn.myanimelist.net/images/anime/8/53571.jpg
179,Ultra Maniac OVA,"Comedy, Romance",OVA,Ashi Productions,Unknown,21 min,https://cdn.myanimelist.net/images/anime/2/3132.jpg
180,Vandread,"Action, Sci-Fi, Ecchi",TV,Gonzo,Original,22 min per ep,https://cdn.myanimelist.net/images/anime/5/75446.jpg
181,Vandread: The Second Stage,"Action, Sci-Fi, Ecchi",TV,Gonzo,Original,22 min per ep,https://cdn.myanimelist.net/images/anime/4/75447.jpg
182,Tenkuu no Escaflowne,"Adventure, Fantasy, Romance",TV,Sunrise,Original,24 min per ep,https://cdn.myanimelist.net/images/anime/5/30689.jpg
183,Whistle!,Sports,TV,Studio Comet,Manga,24 min per ep,https://cdn.myanimelist.net/images/anime/8/17885.jpg
184,Xenosaga The Animation,"Action, Sci-Fi",TV,Toei Animation,Game,23 min per ep,https://cdn.myanimelist.net/images/anime/3/75162.jpg
185,Initial D First Stage,"Action, Drama",TV,"Gallop, Studio Comet",Manga,25 min per ep,https://cdn.myanimelist.net/images/anime/1384/127972.jpg
186,Initial D Second Stage,"Action, Drama",TV,Pastel,Manga,23 min per ep,https://cdn.myanimelist.net/images/anime/8/12750.jpg
187,Initial D Third Stage,"Action, Drama, Romance",Movie,Studio Deen,Manga,1 hr 44 min,https://cdn.myanimelist.net/images/anime/13/40397.jpg
188,Gosenzo San'e,"Comedy, Mystery, Supernatural, Hentai",OVA,AIC,Original,30 min per ep,https://cdn.myanimelist.net/images/anime/13/78241.jpg
189,Love Hina,"Comedy, Romance, Ecchi",TV,Xebec,Manga,23 min per ep,https://cdn.myanimelist.net/images/anime/1153/99366.jpg
190,Love Hina Again,"Comedy, Drama, Romance, Ecchi",OVA,Xebec,Manga,30 min per ep,https://cdn.myanimelist.net/images/anime/3/10289.jpg
191,Love Hina Christmas Special: Silent Eve,"Comedy, Romance",Special,Xebec,Manga,46 min,https://cdn.myanimelist.net/images/anime/11/82467.jpg
192,Love Hina Haru Special: Kimi Sakura Chiru Nakare!!,"Adventure, Comedy, Romance",Special,Xebec,Manga,46 min,https://cdn.myanimelist.net/images/anime/12/82632.jpg
193,Maburaho,"Comedy, Drama, Romance, Ecchi",TV,J.C.Staff,Light novel,23 min per ep,https://cdn.myanimelist.net/images/anime/9/79204.jpg
